id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,magnetic_variation_deg,usage_type,power,associated_airport,power_category
91698,Narromine_NDB_AU,NRM,Narromine,ndb,215,-32.22309875,148.2290039,NA,AU,11.056,BOTH,LOW,YNRM,High
91699,Norton_NDB_US,NRN,Norton,ndb,230,39.85540009,-99.88899994,2343,US,6.376,TERMINAL,LOW,NA,High
91700,Roosevelt_Roads_TACAN_PR,NRR,Roosevelt Roads,tacan,113800,18.23380089,-65.64330292,275,PR,-12.469,BOTH,HIGH,NA,High
91701,Imperial_Beach_TACAN_US,NRS,Imperial Beach,tacan,109200,32.56420135,-117.1100006,20,US,12.341,BOTH,MEDIUM,NA,High
91702,Nelson_VOR-DME_NZ,NS,Nelson,vor-dme,116400,-41.30170059,173.2230072,6,NZ,21.522,BOTH,HIGH,NZNS,High
91703,Namsang_NDB_MM,NS,Namsang,ndb,260,20.88610077,97.73290253,NA,MM,-0.454,BOTH,HIGH,VYNS,High
91704,Nanxiong_NDB_CN,NS,Nanxiong,ndb,333,25.09670067,114.2750015,NA,CN,-2.473,BOTH,MEDIUM,NA,High
91705,Narsaq_NDB_GL,NS,Narsaq,ndb,404,60.90000153,-46.01670074,NA,GL,-26.441,BOTH,LOW,NA,High
91706,Naryn-Ges_NDB_KG,NS,Naryn-Ges,ndb,691,41.16669846,72.16670227,NA,KG,4.322,BOTH,MEDIUM,NA,High
91707,Nelspruit_NDB_ZA,NS,Nelspruit,ndb,480,-25.49069977,30.91909981,2848,ZA,-17.461,BOTH,MEDIUM,FANS,High
91708,Sturup_NDB_SE,NS,Sturup,ndb,351,55.61149979,13.36069965,NA,SE,2.143,TERMINAL,LOW,ESMS,High
91709,Cha_Ian_NDB_TH,NS,Cha Ian,ndb,345,8.461669922,99.96170044,NA,TH,-0.253,BOTH,LOW,VTSN,High
91710,Niamtougou_NDB_TG,NS,Niamtougou,ndb,260,9.701580048,1.063140035,NA,TG,-3.204,BOTH,LOW,NA,High
91711,Mary_NDB_TM,NS,Mary,ndb,480,37.57170105,61.89810181,NA,TM,4.011,BOTH,MEDIUM,UTAM,High
91712,Nisa_VORTAC_PT,NSA,Nisa,vortac,115500,39.56470108,-7.914720058,1341,PT,-3.368,BOTH,HIGH,NA,High
91713,Fascene_VOR-DME_MG,NSB,Fascene,vor-dme,117500,-13.30560017,48.32310104,36,MG,-9.253,BOTH,HIGH,FMNN,High
91714,Seeb_NDB_OM,NSB,Seeb,ndb,318,23.59059906,58.2541008,48,OM,0.533,TERMINAL,LOW,OOMS,High
91715,Beaver_TACAN_US,NSD,Beaver,tacan,113900,32.88000107,-118.4410019,2000,US,12.532,BOTH,HIGH,NA,High
91716,Whiting_TACAN_US,NSE,Whiting,tacan,112300,30.72400093,-87.01799774,179,US,-1.409,BOTH,MEDIUM,NA,High
91717,Nanjing_VOR-DME_CN,NSE,Nanjing,vor-dme,112000,31.74500084,118.862999,49,CN,-4.58,BOTH,HIGH,ZSNJ,High
91718,Nakashibetsu_VOR-DME_JP,NSE,Nakashibetsu,vor-dme,111450,43.57740021,144.951004,263,JP,-8.374,BOTH,HIGH,RJCN,High
91719,Ningshan_VOR-DME_CN,NSH,Ningshan,vor-dme,116300,33.31829834,108.3119965,2575,CN,-2.558,BOTH,HIGH,NA,High
91720,San_Nicolas_Island_TACAN_US,NSI,San Nicolas Island,tacan,110200,33.23509979,-119.4580002,521,US,13.087,BOTH,MEDIUM,NA,High
91721,San_Nicolas_NDB_US,NSI,San Nicolas,ndb,203,33.2358017,-119.4489975,504,US,13.086,TERMINAL,MEDIUM,NA,High
91722,Novosibirsk_VOR-DME_RU,NSK,Novosibirsk,vor-dme,113300,55.01330185,82.63999939,388,RU,8.506,BOTH,HIGH,UNNT,High
91723,In_Salah_VOR-DME_DZ,NSL,In Salah,vor-dme,113100,27.23670006,2.492500067,955,DZ,-0.406,BOTH,HIGH,DAUI,High
91724,Norseman_NDB_AU,NSM,Norseman,ndb,347,-32.19440079,121.7990036,NA,AU,0.585,BOTH,HIGH,YNSM,High
91725,Nonsan_VOR-DME_KR,NSN,Nonsan,vor-dme,117500,36.26720047,127.1190033,104,KR,-7.253,BOTH,MEDIUM,RKUL,High
91726,Niederstetten_NDB_DE,NSN,Niederstetten,ndb,311,49.39479828,9.965000153,1595,DE,1.117,LO,LOW,ETHN,High
91727,Noshahr_NDB-DME_IR,NSR,Noshahr,ndb-dme,260,36.65330124,51.50469971,-64,IR,4.175,BOTH,HIGH,OINN,High
91728,Nelspruit_VOR-DME_ZA,NSV,Nelspruit,vor-dme,116200,-25.49819946,30.91570091,2846,ZA,-17.466,BOTH,HIGH,FANS,High
91729,Navy_Sigonella_TACAN_IT,NSY,Navy Sigonella,tacan,111200,37.40029907,14.92150021,81,IT,2.01,BOTH,LOW,LICZ,High
91730,Navy_Sigonella_NDB_IT,NSY,Navy Sigonella,ndb,297,37.40010071,14.92109966,NA,IT,2.009,BOTH,MEDIUM,LICZ,High
91731,Niamtougou_VOR-DME_TG,NT,Niamtougou,vor-dme,113200,9.747329712,1.082690001,1516,TG,-3.195,BOTH,HIGH,DXNG,High
91732,Nakhchivan_NDB_AZ,NT,Nakhchivan,ndb,680,39.22589874,45.41429901,NA,AZ,5.048,BOTH,MEDIUM,NA,High
91733,Titan_NDB_HU,NT,Titan,ndb,313,46.94279861,19.69400024,376,HU,3.267,TERMINAL,LOW,LHKE,High
91734,Tole_Bi_NDB_KZ,NT,Tole Bi,ndb,116,43.6955986,73.74890137,NA,KZ,5.213,BOTH,MEDIUM,NA,High
