id.x,filename,ident,name.x,type.x,frequency_khz,latitude_deg.x,longitude_deg.x,elevation_ft.x,iso_country.x,magnetic_variation_deg,usage_type,power,associated_airport,power_category,id.y,type.y,name.y,latitude_deg.y,longitude_deg.y,elevation_ft.y,continent,iso_country.y,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,x16,x17,x18,airport_type,airport_size,latitude,longitude,distance_from_dc,is_critical_navaid
85387,Baykit_NDB_RU,AL,Baykit,ndb,326,61.70669937,96.5,NA,RU,4.086,BOTH,HIGH,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.70669937,96.5,175.02820582161218,FALSE
85388,Alushta_NDB_UA,AL,Alushta,ndb,384,44.67470169,34.39680099,NA,UA,5.357,BOTH,HIGH,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.67470169,34.39680099,111.58285617456151,FALSE
85389,Price_NDB_US,AL,Price,ndb,382,42.62220001,-92.50939941,921,US,0.56,TERMINAL,LOW,KALO,High,3375,medium_airport,Waterloo Regional Airport,42.55709839,-92.40029907,873,NA,US,US-IA,Waterloo,yes,KALO,ALO,ALO,NA,NA,NA,medium_airport,Other,42.62220001,-92.50939941,15.91224255303916,FALSE
85390,Trina_NDB_US,AL,Trina,ndb,353,46.17549896,-118.1959991,NA,US,16.139,TERMINAL,MEDIUM,KALW,High,3376,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,NA,US,US-WA,Walla Walla,yes,KALW,ALW,ALW,NA,NA,NA,medium_airport,Other,46.17549896,-118.1959991,41.79592813296,FALSE
85391,Hawky_NDB_US,AL,Hawky,ndb,219,42.817298889999996,-73.81060028,NA,US,-14.018,TERMINAL,LOW,KALB,High,3371,medium_airport,Albany International Airport,42.74829865,-73.80169678,285,NA,US,US-NY,Albany,yes,KALB,ALB,ALB,NA,NA,NA,medium_airport,Other,42.817298889999996,-73.81060028,5.069307961926485,FALSE
85392,Alpos_NDB_US,AL,Alpos,ndb,218,38.85509872,-89.9382019,NA,US,-0.391,TERMINAL,LOW,KALN,High,3374,medium_airport,St Louis Regional Airport,38.89030075,-90.04599762,544,NA,US,US-IL,Alton/St Louis,no,KALN,ALN,ALN,NA,NA,NA,medium_airport,Other,38.85509872,-89.9382019,12.901407103813176,FALSE
85393,Alta_NDB_NO,ALA,Alta,ndb,358,69.99230194,23.29319954,44,NO,8.543,TERMINAL,LOW,ENAT,High,2566,medium_airport,Alta Airport,69.97609711,23.37170029,9,EU,NO,NO-54,Alta,yes,ENAT,ALF,NA,NA,NA,NA,medium_airport,Other,69.99230194,23.29319954,105.03529138497451,FALSE
85394,Albany_VORTAC_US,ALB,Albany,vortac,115300,42.74720001,-73.80319977,275,US,-14.006,BOTH,MEDIUM,KALB,High,3371,medium_airport,Albany International Airport,42.74829865,-73.80169678,285,NA,US,US-NY,Albany,yes,KALB,ALB,ALB,NA,NA,NA,medium_airport,Other,42.74720001,-73.80319977,5.0202009177225175,FALSE
85395,Allersberg_VOR-DME_DE,ALB,Allersberg,vor-dme,111200,49.21440125,11.22140026,1434,DE,1.326,BOTH,HIGH,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.21440125,11.22140026,88.85812265849599,FALSE
85396,Albenga_VOR-DME_IT,ALB,Albenga,vor-dme,116950,44.0481987,8.127619743,136,IT,0.501,BOTH,MEDIUM,LIMG,High,4343,medium_airport,Villanova D'Albenga International Airport,44.050598,8.12743,148,EU,IT,IT-42,Albenga (SV),no,LIMG,ALL,SV01,NA,NA,NA,medium_airport,Other,44.0481987,8.127619743,85.31954811582888,TRUE
85397,Amami_VORTAC_JP,ALC,Amami,vortac,115500,28.44370079,129.5839996,996,JP,-5.084,BOTH,HIGH,RJKA,High,5577,medium_airport,Amami Airport,28.43059921,129.7129974,27,AS,JP,JP-46,Amami,yes,RJKA,ASJ,NA,NA,NA,NA,medium_airport,Other,28.44370079,129.5839996,206.8856712467805,FALSE
85398,Alcantara_NDB_BR,ALC,Alcantara,ndb,230,-2.381500006,-44.39929962,148,BR,-20.459,BOTH,MEDIUM,SNCW,High,293,small_airport,Alcântara Space Center Airport,-2.373,-44.3964,148,SA,BR,BR-MA,Alcântara,no,SNCW,NA,MA9001,NA,NA,NA,small_airport,Small,-2.381500006,-44.39929962,52.63050167678474,FALSE
85399,Allendale_VOR_US,ALD,Allendale,vor,116700,33.01250076,-81.29219818,190,US,-6.129,LO,MEDIUM,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.01250076,-81.29219818,7.2701472977353,FALSE
85400,Al_Udeid_VORTAC_QA,ALD,Al Udeid,vortac,115200,25.13949966,51.30509949,37,QA,1.568,BOTH,LOW,OTBH,High,5309,medium_airport,Al Udeid Air Base,25.11730003,51.31499863,130,AS,QA,QA-RA,Ar Rayyan,no,OTBH,XJD,NA,NA,NA,NA,medium_airport,Other,25.13949966,51.30509949,129.078342125018,FALSE
